,CarPosition
0,-0.40179875
1,-0.40424684
2,-0.40713453
3,-0.41228798
4,-0.41845217
5,-0.42646828
6,-0.43525603
7,-0.4456098
8,-0.45518127
9,-0.46625727
10,-0.4785735
11,-0.48988387
12,-0.5003619
13,-0.5103436
14,-0.51927364
15,-0.5269068
16,-0.5339122
17,-0.54126525
18,-0.5487665
19,-0.5545908
20,-0.56059253
21,-0.56523126
22,-0.5697846
23,-0.5733316
24,-0.5772252
25,-0.58017564
26,-0.58239734
27,-0.5841527
28,-0.5858313
29,-0.58578086
30,-0.583959
31,-0.5830983
32,-0.5814601
33,-0.5795715
34,-0.5770911
35,-0.5729231
36,-0.56700623
37,-0.5613922
38,-0.55450463
39,-0.54789853
40,-0.5403974
41,-0.5329305
42,-0.52502984
43,-0.5158577
44,-0.50643396
45,-0.49569023
46,-0.48415756
47,-0.47183228
48,-0.4589215
49,-0.44649604
50,-0.43442404
51,-0.4226374
52,-0.41064602
53,-0.3981954
54,-0.38761592
55,-0.37929142
56,-0.37325084
57,-0.36764628
58,-0.3618278
59,-0.35606876
60,-0.3501858
61,-0.34524658
62,-0.3421827
63,-0.34153274
64,-0.3414216
65,-0.34316707
66,-0.3453067
67,-0.3475289
68,-0.35015088
69,-0.35296437
70,-0.35815662
71,-0.36411744
72,-0.37226278
73,-0.38091776
74,-0.39155942
75,-0.4043204
76,-0.41731903
77,-0.43109107
78,-0.44436538
79,-0.45741886
80,-0.47189566
81,-0.48579386
82,-0.5002222
83,-0.5138092
84,-0.52760875
85,-0.54273045
86,-0.5592013
87,-0.5755201
88,-0.5924586
89,-0.609922
90,-0.62623745
91,-0.6429387
92,-0.6595787
93,-0.67520505
94,-0.6903398
95,-0.7045466
96,-0.7173245
97,-0.7295865
98,-0.7417858
99,-0.7532385
